iter	Passed	Remaining
438	1290	1648
439	1292	1645
440	1295	1642
441	1297	1638
442	1300	1635
443	1302	1631
444	1305	1628
445	1307	1624
446	1310	1621
447	1313	1618
448	1315	1614
449	1318	1611
450	1320	1607
451	1322	1603
452	1325	1600
453	1327	1596
454	1330	1593
455	1332	1589
456	1335	1586
457	1337	1583
458	1340	1579
459	1342	1576
460	1345	1572
461	1347	1569
462	1350	1565
463	1352	1562
464	1354	1558
465	1357	1555
466	1360	1552
467	1362	1548
468	1365	1545
469	1367	1541
470	1369	1538
471	1372	1535
472	1374	1531
473	1377	1528
474	1380	1525
475	1382	1521
476	1384	1518
477	1387	1515
478	1390	1512
479	1393	1509
480	1395	1506
481	1398	1503
482	1402	1501
483	1405	1498
484	1408	1495
485	1410	1492
486	1413	1489
487	1416	1486
488	1419	1483
489	1422	1480
490	1424	1477
491	1427	1474
492	1430	1470
493	1433	1467
494	1435	1464
495	1438	1462
496	1441	1459
497	1444	1456
498	1447	1453
499	1450	1450
500	1453	1447
501	1455	1444
502	1458	1441
503	1461	1438
504	1464	1435
505	1466	1432
506	1469	1428
507	1472	1425
508	1474	1422
509	1477	1419
510	1480	1416
511	1483	1413
512	1486	1410
513	1488	1407
514	1491	1404
515	1494	1401
516	1497	1398
517	1500	1395
518	1502	1392
519	1505	1389
520	1508	1386
521	1510	1383
522	1513	1380
523	1516	1377
524	1519	1374
525	1521	1371
526	1524	1368
527	1527	1365
528	1530	1362
529	1533	1359
530	1535	1356
531	1538	1353
532	1541	1350
533	1543	1347
534	1546	1344
535	1549	1341
536	1551	1337
537	1554	1334
538	1556	1331
539	1559	1328
540	1562	1325
541	1564	1322
542	1566	1318
543	1569	1315
544	1572	1312
545	1574	1309
546	1577	1306
547	1579	1302
548	1582	1299
549	1585	1296
550	1587	1293
551	1589	1290
552	1592	1286
553	1594	1283
554	1596	1280
555	1599	1277
556	1602	1274
557	1604	1271
558	1607	1267
559	1609	1264
560	1611	1261
561	1614	1258
562	1616	1254
563	1619	1251
564	1621	1248
565	1623	1245
566	1626	1241
567	1628	1238
568	1631	1235
569	1634	1232
570	1636	1229
571	1639	1226
572	1642	1223
573	1645	1221
574	1648	1218
575	1650	1215
576	1653	1212
577	1656	1209
578	1658	1206
579	1661	1203
580	1664	1200
581	1666	1197
582	1669	1194
583	1671	1190
584	1674	1187
585	1677	1184
586	1680	1182
587	1682	1179
588	1685	1175
589	1687	1172
590	1690	1169
591	1693	1166
592	1696	1164
593	1698	1161
594	1701	1158
595	1704	1155
596	1707	1152
597	1710	1149
598	1713	1146
599	1715	1143
600	1718	1140
601	1720	1137
602	1723	1134
603	1726	1131
604	1729	1128
605	1732	1126
606	1734	1123
607	1737	1120
608	1740	1117
609	1742	1114
610	1745	1111
611	1747	1108
612	1750	1105
613	1753	1102
614	1755	1099
615	1758	1096
616	1761	1093
617	1764	1090
618	1767	1087
619	1769	1084
620	1772	1081
621	1775	1078
622	1777	1075
623	1780	1072
624	1783	1070
625	1786	1067
626	1788	1064
627	1791	1061
628	1794	1058
629	1796	1055
630	1799	1052
631	1801	1048
632	1803	1045
633	1805	1042
634	1808	1039
635	1810	1036
636	1813	1033
637	1815	1030
638	1817	1026
639	1820	1023
640	1822	1020
641	1824	1017
642	1827	1014
643	1829	1011
644	1832	1008
645	1834	1005
646	1836	1002
647	1839	999
648	1841	995
649	1843	992
650	1846	989
651	1848	986
652	1850	983
653	1853	980
654	1855	977
655	1857	974
656	1860	971
657	1862	968
658	1865	965
659	1867	962
660	1869	959
661	1872	956
662	1874	952
663	1877	949
664	1879	946
665	1881	943
666	1884	940
667	1886	937
668	1889	934
669	1891	931
670	1894	928
671	1896	925
672	1899	922
673	1901	919
674	1904	916
675	1906	913
676	1908	910
677	1910	907
678	1913	904
679	1915	901
680	1917	898
681	1920	895
682	1922	892
683	1924	889
684	1927	886
685	1929	883
686	1932	880
687	1934	877
688	1937	874
689	1940	872
690	1944	869
691	1947	866
692	1950	864
693	1955	862
694	1958	859
695	1961	856
696	1964	854
697	1968	851
698	1972	849
699	1975	846
700	1979	844
701	1982	841
702	1985	838
703	1989	836
704	1992	833
705	1995	830
706	1998	828
707	2001	825
708	2004	822
709	2008	820
710	2011	817
711	2015	815
